Model,Type of questions,Accuracy1 (for present questions),Accuracy2 (for all questions),No words in vocabulary,Number of questions,Number of present questions
ubercorpus_lowercased_lemmatized_300d,past,,,+,1089.0,0.0
ubercorpus_lowercased_lemmatized_300d,country-nationality,35.2670349907919,3.6972680760691183,,10359.0,1086.0
ubercorpus_lowercased_lemmatized_300d,comparative,58.75,58.75,,400.0,400.0
ubercorpus_lowercased_lemmatized_300d,adjective-adverb,36.26251390433816,33.92299687825182,,961.0,899.0
ubercorpus_lowercased_lemmatized_300d,opposite,36.124401913875595,24.16,,625.0,418.0
ubercorpus_lowercased_lemmatized_300d,verb,,,+,785.0,0.0
ubercorpus_lowercased_lemmatized_300d,country-capital,,,+,4271.0,0.0
ubercorpus_lowercased_lemmatized_300d,family,67.49226006191951,54.50000000000001,,400.0,323.0
ubercorpus_lowercased_lemmatized_300d,country-region,,,+,2038.0,0.0
ubercorpus_lowercased_lemmatized_300d,currency,,,+,729.0,0.0
ubercorpus_lowercased_lemmatized_300d,singular-plural,2.857142857142857,0.163265306122449,,1225.0,70.0
ubercorpus_lowercased_lemmatized_300d,supperlative,55.49242424242424,53.81083562901745,,1089.0,1056.0
ubercorpus_lowercased_lemmatized_300d,all,44.70837253057385,7.9304159192357435,,23971.0,4252.0
ubercorpus_cased_tokenized_word2vec_300d,past,87.7840909090909,85.12396694214877,,1089.0,1056.0
ubercorpus_cased_tokenized_word2vec_300d,country-nationality,29.054054054054053,9.962351578337678,,10359.0,3552.0
ubercorpus_cased_tokenized_word2vec_300d,comparative,58.529411764705884,49.75,,400.0,340.0
ubercorpus_cased_tokenized_word2vec_300d,adjective-adverb,28.555555555555557,26.742976066597297,,961.0,900.0
ubercorpus_cased_tokenized_word2vec_300d,opposite,29.583333333333332,22.720000000000002,,625.0,480.0
ubercorpus_cased_tokenized_word2vec_300d,verb,82.2704081632653,82.16560509554141,,785.0,784.0
ubercorpus_cased_tokenized_word2vec_300d,country-capital,27.43797592729059,26.153125731678763,,4271.0,4071.0
ubercorpus_cased_tokenized_word2vec_300d,family,47.75,47.75,,400.0,400.0
ubercorpus_cased_tokenized_word2vec_300d,country-region,44.39461883408072,43.71933267909716,,2038.0,2007.0
ubercorpus_cased_tokenized_word2vec_300d,currency,14.646464646464647,11.934156378600823,,729.0,594.0
ubercorpus_cased_tokenized_word2vec_300d,singular-plural,41.79591836734694,41.79591836734694,,1225.0,1225.0
ubercorpus_cased_tokenized_word2vec_300d,supperlative,36.25914315569488,31.86409550045914,,1089.0,957.0
ubercorpus_cased_tokenized_word2vec_300d,all,38.78162043260418,26.477827374744482,,23971.0,16366.0
ubercorpus_lowercased_lemmatized_word2vec_300d,past,,,+,1089.0,0.0
ubercorpus_lowercased_lemmatized_word2vec_300d,country-nationality,39.41068139963168,4.13167294140361,,10359.0,1086.0
ubercorpus_lowercased_lemmatized_word2vec_300d,comparative,66.75,66.75,,400.0,400.0
ubercorpus_lowercased_lemmatized_word2vec_300d,adjective-adverb,49.2769744160178,46.09781477627472,,961.0,899.0
ubercorpus_lowercased_lemmatized_word2vec_300d,opposite,35.88516746411483,24.0,,625.0,418.0
ubercorpus_lowercased_lemmatized_word2vec_300d,verb,,,+,785.0,0.0
ubercorpus_lowercased_lemmatized_word2vec_300d,country-capital,,,+,4271.0,0.0
ubercorpus_lowercased_lemmatized_word2vec_300d,family,63.77708978328174,51.5,,400.0,323.0
ubercorpus_lowercased_lemmatized_word2vec_300d,country-region,,,+,2038.0,0.0
ubercorpus_lowercased_lemmatized_word2vec_300d,currency,,,+,729.0,0.0
ubercorpus_lowercased_lemmatized_word2vec_300d,singular-plural,1.4285714285714286,0.0816326530612245,,1225.0,70.0
ubercorpus_lowercased_lemmatized_word2vec_300d,supperlative,67.42424242424242,65.38108356290174,,1089.0,1056.0
ubercorpus_lowercased_lemmatized_word2vec_300d,all,51.904985888993416,9.206958408076424,,23971.0,4252.0
ubercorpus_lowercased_tokenized_word2vec_300d,past,86.45833333333334,83.83838383838383,,1089.0,1056.0
ubercorpus_lowercased_tokenized_word2vec_300d,country-nationality,29.30934416715032,4.874987933198185,,10359.0,1723.0
ubercorpus_lowercased_tokenized_word2vec_300d,comparative,61.47058823529412,52.25,,400.0,340.0
ubercorpus_lowercased_tokenized_word2vec_300d,adjective-adverb,27.88888888888889,26.11862643080125,,961.0,900.0
ubercorpus_lowercased_tokenized_word2vec_300d,opposite,28.749999999999996,22.08,,625.0,480.0
ubercorpus_lowercased_tokenized_word2vec_300d,verb,82.2704081632653,82.16560509554141,,785.0,784.0
ubercorpus_lowercased_tokenized_word2vec_300d,country-capital,,,+,4271.0,0.0
ubercorpus_lowercased_tokenized_word2vec_300d,family,47.5,47.5,,400.0,400.0
ubercorpus_lowercased_tokenized_word2vec_300d,country-region,,,+,2038.0,0.0
ubercorpus_lowercased_tokenized_word2vec_300d,currency,,,+,729.0,0.0
ubercorpus_lowercased_tokenized_word2vec_300d,singular-plural,41.95918367346938,41.95918367346938,,1225.0,1225.0
ubercorpus_lowercased_tokenized_word2vec_300d,supperlative,39.18495297805642,34.43526170798898,,1089.0,957.0
