Model,Type of questions,Accuracy1 (for present questions),Accuracy2 (for all questions),No words in vocabulary,Number of questions,Number of present questions
fiction_cased_lemmatized_word2vec_300d,past,,,+,1089.0,0.0
fiction_cased_lemmatized_word2vec_300d,country-nationality,10.27190332326284,0.32821700936383824,,10359.0,331.0
fiction_cased_lemmatized_word2vec_300d,comparative,48.0,48.0,,400.0,400.0
fiction_cased_lemmatized_word2vec_300d,adjective-adverb,23.17241379310345,17.48178980228928,,961.0,725.0
fiction_cased_lemmatized_word2vec_300d,opposite,11.965811965811966,2.2399999999999998,,625.0,117.0
fiction_cased_lemmatized_word2vec_300d,verb,,,+,785.0,0.0
fiction_cased_lemmatized_word2vec_300d,country-capital,1.951219512195122,0.09365488176071178,,4271.0,205.0
fiction_cased_lemmatized_word2vec_300d,family,41.776315789473685,31.75,,400.0,304.0
fiction_cased_lemmatized_word2vec_300d,country-region,17.272727272727273,1.8645731108930326,,2038.0,220.0
fiction_cased_lemmatized_word2vec_300d,currency,2.5,0.5486968449931412,,729.0,160.0
fiction_cased_lemmatized_word2vec_300d,singular-plural,2.941176470588235,0.163265306122449,,1225.0,68.0
fiction_cased_lemmatized_word2vec_300d,supperlative,9.906759906759907,7.80532598714417,,1089.0,858.0
fiction_cased_lemmatized_word2vec_300d,all,19.71664698937426,2.7867005965541694,,23971.0,3388.0
fiction_cased_tokenized_300d,past,16.049382716049383,11.937557392102846,,1089.0,810.0
fiction_cased_tokenized_300d,country-nationality,0.0,0.0,,10359.0,143.0
fiction_cased_tokenized_300d,comparative,2.083333333333333,1.25,,400.0,240.0
fiction_cased_tokenized_300d,adjective-adverb,2.4615384615384617,1.664932362122789,,961.0,650.0
fiction_cased_tokenized_300d,opposite,2.857142857142857,0.64,,625.0,140.0
fiction_cased_tokenized_300d,verb,24.16,19.23566878980892,,785.0,625.0
fiction_cased_tokenized_300d,country-capital,0.0,0.0,,4271.0,68.0
fiction_cased_tokenized_300d,family,19.298245614035086,16.5,,400.0,342.0
fiction_cased_tokenized_300d,country-region,0.0,0.0,,2038.0,44.0
fiction_cased_tokenized_300d,currency,0.0,0.0,,729.0,21.0
fiction_cased_tokenized_300d,singular-plural,3.931451612903226,3.183673469387755,,1225.0,992.0
fiction_cased_tokenized_300d,supperlative,0.5050505050505051,0.18365472910927455,,1089.0,396.0
fiction_cased_tokenized_300d,all,9.237307090136435,1.7229151891869343,,23971.0,4471.0
