Model,Type of questions,Accuracy1 (for present questions),Accuracy2 (for all questions),No words in vocabulary,Number of questions,Number of present questions
ubercorpus_lowercased_lemmatized_300d,past,,,+,1089,0
ubercorpus_lowercased_lemmatized_300d,country-nationality,35.2670349908,3.6972680761,,10359,1086
ubercorpus_lowercased_lemmatized_300d,comparative,58.75,58.75,,400,400
ubercorpus_lowercased_lemmatized_300d,adjective-adverb,36.2625139043,33.9229968783,,961,899
ubercorpus_lowercased_lemmatized_300d,opposite,36.1244019139,24.16,,625,418
ubercorpus_lowercased_lemmatized_300d,verb,,,+,785,0
ubercorpus_lowercased_lemmatized_300d,country-capital,,,+,4271,0
ubercorpus_lowercased_lemmatized_300d,family,67.4922600619,54.5,,400,323
ubercorpus_lowercased_lemmatized_300d,country-region,,,+,2038,0
ubercorpus_lowercased_lemmatized_300d,currency,,,+,729,0
ubercorpus_lowercased_lemmatized_300d,singular-plural,2.8571428571,0.1632653061,,1225,70
ubercorpus_lowercased_lemmatized_300d,supperlative,55.4924242424,53.810835629,,1089,1056
ubercorpus_lowercased_lemmatized_300d,all,44.7083725306,7.9304159192,,23971,4252
ubercorpus_cased_tokenized_word2vec_300d,past,87.7840909091,85.1239669421,,1089,1056
ubercorpus_cased_tokenized_word2vec_300d,country-nationality,29.0540540541,9.9623515783,,10359,3552
ubercorpus_cased_tokenized_word2vec_300d,comparative,58.5294117647,49.75,,400,340
ubercorpus_cased_tokenized_word2vec_300d,adjective-adverb,28.5555555556,26.7429760666,,961,900
ubercorpus_cased_tokenized_word2vec_300d,opposite,29.5833333333,22.72,,625,480
ubercorpus_cased_tokenized_word2vec_300d,verb,82.2704081633,82.1656050955,,785,784
ubercorpus_cased_tokenized_word2vec_300d,country-capital,27.4379759273,26.1531257317,,4271,4071
ubercorpus_cased_tokenized_word2vec_300d,family,47.75,47.75,,400,400
ubercorpus_cased_tokenized_word2vec_300d,country-region,44.3946188341,43.7193326791,,2038,2007
ubercorpus_cased_tokenized_word2vec_300d,currency,14.6464646465,11.9341563786,,729,594
ubercorpus_cased_tokenized_word2vec_300d,singular-plural,41.7959183673,41.7959183673,,1225,1225
ubercorpus_cased_tokenized_word2vec_300d,supperlative,36.2591431557,31.8640955005,,1089,957
ubercorpus_cased_tokenized_word2vec_300d,all,38.7816204326,26.4778273747,,23971,16366
ubercorpus_lowercased_lemmatized_word2vec_300d,past,,,+,1089,0
ubercorpus_lowercased_lemmatized_word2vec_300d,country-nationality,39.4106813996,4.1316729414,,10359,1086
ubercorpus_lowercased_lemmatized_word2vec_300d,comparative,66.75,66.75,,400,400
ubercorpus_lowercased_lemmatized_word2vec_300d,adjective-adverb,49.276974416,46.0978147763,,961,899
ubercorpus_lowercased_lemmatized_word2vec_300d,opposite,35.8851674641,24,,625,418
ubercorpus_lowercased_lemmatized_word2vec_300d,verb,,,+,785,0
ubercorpus_lowercased_lemmatized_word2vec_300d,country-capital,,,+,4271,0
ubercorpus_lowercased_lemmatized_word2vec_300d,family,63.7770897833,51.5,,400,323
